"ID","Year","Park","Team","Name","Franchise_Name","Games","Wins","Losses","Attendance"
257,1890,NULL,"PTP","Pittsburgh Burghers","Pittsburgh Burghers",131,60,68,NULL
258,1890,"Culver Field I","RC2","Rochester Broncos","Rochester Broncos",133,63,63,NULL
259,1890,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",138,77,58,NULL
260,1890,"Star Park II","SR2","Syracuse Stars","Syracuse Stars",127,55,72,NULL
261,1890,"Speranza Park","TL2","Toledo Maumees","Toledo Maumees",134,68,64,NULL
262,1891,"Union Park","BL3","Baltimore Orioles","Baltimore Orioles",139,71,64,NULL
263,1891,"Eastern Park","BRO","Brooklyn Grooms","Los Angeles Dodgers",137,61,76,181477
264,1891,"Congress Street Grounds","BS2","Boston Reds","Boston Reds",139,93,42,NULL
265,1891,"South End Grounds II","BSN","Boston Beaneaters","Atlanta Braves",140,87,51,184472
266,1891,"South Side Park I","CHN","Chicago Colts","Chicago Cubs",137,82,53,181431
267,1891,"League Park I in Cincinnati","CIN","Cincinnati Reds","Cincinnati Reds",138,56,81,97500
268,1891,"League Park I","CL4","Cleveland Spiders","Cleveland Spiders",141,65,74,132000
269,1891,"Recreation Park II","CL6","Columbus Solons","Columbus Solons",138,61,76,NULL
270,1891,"East End Park","CN3","Cincinnati Kelly's Killers","Cincinnati Kelly's Killers",102,43,57,NULL
271,1891,"Eclipse Park I","LS2","Louisville Colonels","Louisville Colonels",138,54,83,NULL
272,1891,"Athletic Field","ML3","Milwaukee Brewers","Milwaukee Brewers",36,21,15,NULL
273,1891,"Polo Grounds III","NY1","New York Giants","San Francisco Giants",136,71,61,210568
274,1891,"Athletic Park","PH4","Philadelphia Athletics","Philadelphia Athletics",142,73,66,NULL
275,1891,"Philadelphia Baseball Grounds","PHI","Philadelphia Phillies","Philadelphia Phillies",138,68,69,217282
276,1891,"Exposition Park","PIT","Pittsburgh Pirates","Pittsburgh Pirates",137,55,80,128000
277,1891,"Sportsman's Park I","SL4","St. Louis Browns","St. Louis Cardinals",139,85,51,NULL
278,1891,"Boundary Field","WS9","Washington Statesmen","Washington Senators",139,44,91,NULL
279,1892,"Union Park","BLN","Baltimore Orioles","Baltimore Orioles",152,46,101,93589
280,1892,"Eastern Park","BRO","Brooklyn Grooms","Los Angeles Dodgers",158,95,59,183727
